Time(s);X(rad/s);Y(rad/s);Z(rad/s)
2,261811002;0,939635813;-0,600004733;-0,669030488
2,278666731;0,581679285;-0,354444116;-0,788756549
2,295521523;-0,031764057;0,148894012;-0,738667071
2,312377148;-0,76111567;0,635281146;-0,71789825
2,329233606;-1,073869467;0,977355599;-0,745997191
2,346089283;-0,918714285;1,332868695;-0,868166685
2,362944075;-0,786771298;1,62851882;-0,901152432
2,379799752;-0,704917729;1,899734974;-0,713011444
2,396656158;-0,474017471;1,954711199;-0,480889499
2,413511835;-0,050089475;1,634627223;-0,082617089
2,430366679;0,362995982;1,007897973;0,076203197
2,447222304;0,739277899;0,415376127;0,279004484
2,46407871;1,036149621;-0,576792538;0,436603069
2,480934439;1,408766508;-1,420983434;0,778677523
2,497789231;1,690977931;-1,478403091;1,247960925
2,514644856;1,35867703;-0,971399844;1,85514307
2,531501314;-0,184475869;-0,24693501;0,727366388
2,548356991;-1,14350605;0,168441132;-0,309852272
2,565211783;-0,807540059;0,598630309;-0,612832487
2,58206746;0,3813214;1,035996914;-0,903595805
2,598923866;1,25238955;1,407392025;-1,221236348
2,615779543;0,571905732;1,025001645;-1,015991688
2,632634387;-0,195471123;0,580304921;-0,766766012
2,649490012;-0,172258928;-0,047798797;-0,78142637
2,666346418;-0,245560601;-0,191958755;-1,209019423
2,683202148;-0,515555084;-0,265260428;-1,487565756
2,700056939;-0,873511553;-1,66654408;-1,586523056
2,716912564;-1,623632073;-2,780729532;-1,496117592
2,733769023;-2,466601133;-2,918780804;-1,19558084
2,7506247;-3,078670263;-3,149681091;-0,896265626
2,767479491;-2,454384327;-3,44410944;-0,85228461
2,784335168;-1,748244882;-1,905996203;-0,659256876
2,801191575;-1,340198874;-0,508377612;-0,606724024
2,818047252;-1,34875071;-0,606113195;-0,604280651
2,834902095;-1,446486354;-0,630547106;-0,625049472
2,85175772;-1,499019146;-0,3813214;-0,598172188
2,868614127;-1,45503819;-0,152864531;-0,592063725
2,885469856;-1,230246425;0,007177455;-0,631157935
2,902324648;-1,028666735;0,008399149;-0,673917234
2,919180273;-1,022558331;-0,188293666;-0,638488114
2,936036731;-0,976133943;-0,62932539;-0,4381302
2,952892408;-0,76478076;-1,326912999;-0,096055731
2,9697472;-0,412932754;-1,423426867;0,271674305
2,986602877;-0,221126705;-1,235285878;0,42927292
3,003459283;-0,182032481;-1,273158431;0,574654579
3,020315012;-0,050089475;-1,135106921;0,813037694
3,037169804;0,326345146;-0,806471109;1,009730577
3,054025429;0,983616769;-0,444849521;1,140451789
3,070881887;1,693421364;-0,069789298;1,262621284
3,087737564;2,081920147;0,499673069;1,498408318
3,104592356;1,932873487;1,203369141;1,980977654
3,121448033;1,925543308;1,827654958;2,542957067
3,138304439;2,293273211;2,101314545;3,283303976
3,155160168;2,673220396;1,767791986;3,756099701
3,17201496;2,525395393;0,685370624;3,362714052
3,188870585;1,692199588;-1,075243831;1,467865944
3,205727043;0,928640544;-1,301257372;0,209367901
3,22258272;0,988503575;-0,391094953;-0,113159455
3,239437512;1,317139387;0,791658044;-0,281753302
3,256293189;2,59747529;-0,508377612;-0,695907712
3,273149595;3,146016121;-0,861447334;-0,526092231
3,290005273;2,682993889;1,197260618;-0,340394646
3,306860116;1,764279604;3,204504728;-0,394149184
3,323715741;0,563353896;3,684630632;-0,330621094
3,3405722;-0,448361874;3,088443756;-0,043522868
3,357427877;-0,397050709;2,146517277;0,12995775
3,374282668;0,55846709;0,403159201;0,050547611
3,391138345;1,433200359;-1,463742733;-0,323290914
3,407994752;1,571251869;-2,252957344;-0,654370129
3,424850429;0,979951739;-1,04714489;-0,787534833
3,441705273;0,245713309;0,678040445;-0,931694806
3,458560898;-0,274881274;1,401283622;-1,007439852
3,475417356;-0,685370624;1,690825224;-0,912147641
3,492273033;-0,730573297;1,927833915;-0,699572802
3,509127825;-0,656049967;2,118418217;-0,511431873
3,525983502;-0,704917729;2,029234648;-0,593285382
3,542839908;-0,421484619;1,477028728;-0,512653589
3,559695637;0,008551862;0,775776029;-0,198678076
3,576550429;0,24693501;0,187988237;-0,127819791
3,593406054;0,359330893;0,040163208;-0,138815045
3,610262512;0,216392636;0,13912046;-0,05207473
3,627118189;0,143090963;0,163554356;0,233801782
3,643972981;0,323901773;0,223417386;0,826476336
3,660828658;0,592674553;0,205091968;1,651120186
3,677685064;0,686745048;-1,0862391;1,224748731
3,694540793;0,597561359;-1,976854444;-0,190126211
3,711395585;-0,87106818;-0,684301615;-1,608513594
3,728251262;-1,094638348;0,983464062;-1,705027461
3,745107668;-0,365286648;1,00911963;-1,522994876
3,761963345;0,059863031;0,151337415;-1,138161182
3,778818189;0,133164704;-0,463174939;-0,644596577
3,795673814;0,095292173;-0,405755281;-0,628714562
3,812530273;-0,215018243;0,004734066;-0,972010672
3,82938595;-0,692700803;-0,359330893;-1,086849928
3,846240741;-1,251015186;-1,204743505;-0,924364626
3,863096418;-1,825211644;-2,029387236;-0,754549086
3,879952825;-2,39696455;-2,620687485;-0,620162666
3,896808554;-2,83188796;-2,833262205;-0,651926756
3,913663345;-2,96993947;-2,940771341;-0,772874475
3,93051897;-2,333436489;-3,109365225;-0,837624311
3,947375429;-1,748244882;-1,700751424;-0,584733546
3,964231106;-1,28155756;-0,595117927;-0,456455618
3,98108595;-1,133732557;-0,277477354;-0,455233932
3,997941575;-1,122737288;-0,176076725;-0,589620292
4,014797981;-1,11174202;-0,124765553;-0,756992459
4,03165371;-1,121515512;-0,146756053;-0,826629043
4,048508502;-1,134954214;-0,180963501;-0,811968744
4,065364179;-1,154501319;-0,32145837;-0,796086669
4,082220585;-1,159388065;-0,62932539;-0,748440623
4,099076314;-1,010341406;-0,90909344;-0,632379651
4,115931106;-0,701252639;-0,93352735;-0,430800021
4,132786731;-0,409267664;-0,837013483;-0,192569599
4,149643189;-0,273659587;-0,887102962;0,038330667
4,166498866;-0,274881274;-1,194969893;0,23624517
4,18335371;-0,118504368;-0,964069665;0,478140682
4,200209335;0,337340385;-0,634212196;0,658951461
4,217065793;0,817466319;-0,541363359;0,767682314
4,23392147;1,25238955;-0,443627834;0,833806515
4,250776262;1,755727768;-0,014813046;0,973079681
4,267631939;2,1197927;0,597408593;1,322484374
4,284488345;2,14789176;1,185043693;1,753742456
4,301344075;2,180877447;1,674943209;2,188665628
4,318198866;2,624352455;2,118418217;2,876479626
4,335054543;3,012851477;2,166064262;3,328506708
4,35191095;2,631682634;1,264453769;2,964441776
4,368766627;1,588355541;-0,785702288;1,095249176
4,38562147;0,895654798;-1,122889996;0,2521272
4,402477095;0,924975455;-0,290915996;0,173938751
4,419333554;1,270714998;0,321305662;-0,078952007
4,436189231;2,544942379;-0,84190023;-0,397814274
4,453044075;2,717201233;-0,801584303;-0,403922737
4,4698997;2,059929609;0,59130013;-0,309852272
4,486756106;0,97262156;1,954711199;0,017561859
4,503611835;-0,221126705;2,475153208;0,25579229
4,520466627;-0,673153698;2,22714901;0,368188173
4,537322304;-0,191806033;1,050657272;0,344975978
4,55417871;0,560910523;-0,942079186;0,028557109
4,571034439;1,032484531;-2,158886909;-0,329399377
4,587889231;0,891989708;-1,667765737;-0,616497576
4,604744856;0,221279413;-0,069789298;-0,803416848
4,621601314;-0,415376127;1,176491857;-0,936581552
4,638456991;-0,875954986;1,637070656;-0,843732774
4,655311835;-0,962695301;1,892404795;-0,727671802
4,67216746;-0,862516344;1,891183138;-0,568851531
4,689023918;-0,946813226;1,567434072;-0,511431873
4,705879595;-0,879620075;1,7702353;-0,413696319
4,722734439;-0,318862259;1,547886968;-0,149810284
4,739590064;0,48760882;0,864959717;-0,140036732
4,756446523;1,000720501;0,208757058;-0,152253673
4,7733022;0,887102962;-0,714843988;-0,271979749
4,790157043;0,79914093;-1,17786622;0,226471618
4,807012668;0,988503575;-1,738623977;0,795781255
4,823869075;1,085017443;-1,63477993;0,876565814
4,840724804;0,739277899;0,65482825;0,865570545
4,857579595;-0,062306419;1,326760292;0,688272178
4,874435273;-1,161831498;0,323749036;0,349862754
4,891291679;-1,116628766;0,486234427;-0,15836215
4,908147408;0,014660334;0,891837001;-0,765544355
4,9250022;0,955517829;0,904053927;-1,140604496
4,941857877;0,723395884;1,154501319;-0,970789015
4,958714283;0,158972994;1,090973258;-0,737445355
4,975570012;0,095292173;-0,008704574;-0,947576821
4,992424804;-0,0219905;-0,917645276;-1,278656006
5,009280429;-0,331079215;-1,100899458;-1,530325055
5,026136887;-0,863738;-1,851019859;-1,470462084
5,042992564;-1,810551286;-2,403225899;-1,328745484
5,059847408;-2,895416021;-2,67932868;-1,183363795
5,076703033;-3,689517498;-2,740413427;-1,136939406
5,093559491;-3,148306847;-3,391576767;-1,138161182
5,110415168;-1,974258304;-2,911450863;-0,992779493
5,127270012;-1,384179831;-1,021489382;-0,744775534
5,144125637;-1,273005724;-0,672084689;-0,639709771
5,160982095;-1,534448266;-0,784480572;-0,546860993
5,177837773;-1,737249613;-0,687966704;-0,523648799
5,194692616;-1,710372329;-0,663532853;-0,561521351
5,211548241;-1,496575832;-0,613443375;-0,628714562
5,2284047;-1,193595529;-0,536476612;-0,687355876
5,245260377;-1,020114899;-0,741721273;-0,694686055
5,26211522;-0,965138674;-1,136328578;-0,451568842
5,278970845;-0,750120461;-1,337908268;-0,064291671
5,295827304;-0,423927993;-1,080130696;0,254570603
5,312682981;-0,202801287;-0,797919214;0,437824786
5,329537825;-0,128277928;-1,044701576;0,474475622
5,34639345;-0,1575986;-1,359898686;0,548998952
5,363249908;-0,158820286;-1,268271565;0,710262656
5,380105585;0,167524859;-0,950631023;1,014617324
5,396960377;0,780815482;-0,394760042;1,394564271
5,413816054;1,434422135;0,257624835;1,654785275
5,430672512;1,876675487;0,561979473;1,874690294
5,447528189;2,029387236;0,87106818;2,13491106
5,464382981;2,158886909;1,717702508;2,561282635
5,481238658;2,708649397;1,894848228;3,403030157
5,498095116;3,087374687;1,073869467;3,983335018
5,514950793;2,70376277;-0,200510606;2,727432966
5,531805637;1,561478257;-1,463742733;0,459815264
5,548661262;0,979951739;-0,774707019;-0,071621843
5,565517668;1,048366666;-0,014813046;-0,176687568
5,582373398;1,413653255;0,357956499;-0,313517362
5,599228189;2,579149723;-0,928640544;-0,659256876
5,616083866;2,64756465;-1,350125194;-0,3672719
5,632940273;1,778939962;0,375060231;-0,110716067
5,649796002;0,879772782;2,35787034;-0,072843537
5,666650793;0,123391144;3,071340084;-0,231663823
5,68350647;-0,323749036;2,805010557;-0,184017733
5,700362877;0,017103724;1,842315316;-0,129041478
5,717218606;0,766155183;0,428814769;-0,33184278
5,734073398;1,282931924;-0,884659529;-0,585955262
5,750929075;1,179087877;-1,543152928;-0,84861958
5,767785481;0,570684075;-0,837013483;-0,972010672
5,78464121;-0,216239929;0,612068951;-0,987892747
5,801496002;-0,740346849;1,425717473;-1,026986957
5,818351679;-1,020114899;1,685938478;-0,886492074
5,835208085;-0,888171911;2,157512426;-0,805860221
5,852063814;-0,608403862;2,429950476;-0,661700308
5,868918606;-0,45324868;2,371309042;-0,534644067
5,885774283;-0,349404633;2,279681921;-0,400257677
5,902630689;0,095292173;1,585759521;-0,340394646
5,919486418;0,568240643;0,560757756;-0,188904509
5,93634121;0,628103674;-0,382543087;-0,180352658
5,953196887;0,468061715;-0,961626291;0,081089973
5,970053293;0,52303797;-1,180309653;0,575876236
5,986909023;0,915201902;-0,954296112;1,375017166
6,003763814;1,052031636;-0,69285351;1,820935726
6,020619491;0,256708562;-0,791810751;0,382848531
6,037475898;-0,97002542;-0,133317411;-0,557856262
6,054331627;-0,857629538;1,279114127;-0,805860221
6,071186418;0,345892251;1,662726283;-1,108840466
6,088042095;1,215738773;1,357302666;-1,232231617
6,104898502;0,534033239;1,282779217;-1,013548255
6,121754231;-0,299315155;1,148392797;-0,821742296
6,138609023;-0,539988995;-0,084449634;-1,123500824
6,1554647;-0,61939913;-1,275601745;-1,482679009
6,172321158;-0,87106818;-1,995179892;-1,606070161
6,189176835;-1,673721433;-2,930997849;-1,47901392
6,206031679;-2,675510883;-3,299949646;-1,242005229
6,222887304;-3,495268106;-3,33415699;-1,055085897
6,239743762;-3,45861721;-3,701887131;-0,936581552
6,256599439;-2,265021563;-3,188775301;-0,794865012
6,273454283;-1,56499064;-1,48939836;-0,474781036
6,290309908;-1,463590026;-1,133885264;-0,377045482
6,307166366;-1,52956152;-1,190083146;-0,366050214
6,324022043;-1,426939249;-0,942079186;-0,40270105
6,340876887;-1,233911514;-0,681858242;-0,432021737
6,357732512;-1,073869467;-0,512042701;-0,401479363
6,37458897;-1,012784719;-0,422859013;-0,40636614
6,3914447;-1,007897973;-0,437519342;-0,455233932
6,408299491;-0,948034942;-0,601226389;-0,512653589
6,425155168;-0,910162389;-0,959182918;-0,485776275
6,442011575;-0,795323134;-1,25605464;-0,325734288
6,458867304;-0,487456113;-1,311030984;-0,111937761
6,475722095;-0,168593839;-1,179087877;0,202037737
6,492577773;-0,123391144;-0,879772782;0,374296665
6,509434179;-0,160041988;-0,845565319;0,419499368
6,526289908;-0,069636591;-0,94085747;0,635739267
6,543144752;0,414307147;-0,614665031;0,871679068
6,560000377;1,196191669;-0,082006246;1,078145385
6,576856835;1,877897143;0,296871781;1,312710762
6,593712512;2,206532955;0,536323905;1,68899262
6,610567356;2,404447556;1,152057886;2,176448822
6,627422981;2,502183199;1,985253572;2,920460701
6,644279439;2,708649397;2,389634371;3,695014954
6,661135168;2,910228968;1,001789451;4,016320705
6,67798996;2,483857632;-1,183974743;2,516079903
6,694845637;1,176644564;-1,980519533;0,474475622
6,711702043;0,779593825;-0,626882017;-0,044744562
6,728557773;1,10700798;0,393385649;-0,372158706
6,745412616;2,22241497;-0,113770299;-0,655591846
6,762268241;3,072714329;-1,923099875;-0,75332737
6,7791247;2,540055513;-0,234718055;-0,263427883
6,795980377;1,744732499;2,542346239;-0,041079476
6,81283522;0,981173396;3,718838215;-0,03130592
6,829690898;0,043981001;3,18984437;-0,093612343
6,846547304;-0,339631081;1,958376288;-0,054518119
6,863403033;0,184628591;0,547319174;-0,173022479
6,880257825;0,927418828;-0,705070436;-0,530978978
6,897113502;1,180309653;-1,282931924;-0,78142637
6,91396996;0,86999923;-0,609778285;-0,929251373
6,930825637;0,220057726;0,489899516;-1,168703556
6,947680481;-0,52410692;1,177713513;-1,223679781
6,964536158;-1,183822036;1,558882236;-1,075854778
6,981392564;-1,200925708;1,962041378;-0,930473089
6,998248293;-0,847855985;2,339545012;-0,698351145
