Time(s);X(rad/s);Y(rad/s);Z(rad/s)
0,00642098;0,127056226;-0,389873266;1,362800241
0,02327687;0,656202674;0,140342161;1,78428483
0,04013353;1,077687263;0,235634327;2,228981733
0,05698947;1,496728539;-0,012369657;2,50997138
0,07384452;1,882784009;0,502116442;2,755532026
0,09070041;2,381235361;1,123958945;2,834942102
0,10755708;2,559602737;0,816091955;3,493435383
0,12441301;2,216306686;-0,386208177;2,524631739
0,14126807;1,490620017;-1,417318344;-0,093612343
0,15812395;1,375780702;-1,094791055;-0,231663823
0,17498062;1,500393629;-0,90542835;-0,204786539
0,19183655;2,226080179;-1,494285107;-0,756992459
0,20869161;3,304836273;-1,335464835;-1,110062122
0,22554749;2,961540222;-0,912758529;-0,826629043
0,24240416;2,28960824;0,505781531;-0,698351145
0,2592601;1,777718186;2,162399292;-0,64703995
0,27611515;1,333021402;3,365768433;-0,606724024
0,29297103;0,674528062;3,156858683;-0,606724024
0,3098277;0,051311169;2,048781633;-0,484554589
0,32668369;0,064749807;1,044548869;-0,43446511
0,34353874;0,553580344;0,262511611;-0,557856262
0,36039458;0,992168665;-0,149199441;-0,735001981
0,37725129;1,0434798;-0,45217967;-0,921921253
0,39410723;0,648872495;-0,254265159;-1,024543524
0,41096228;0,019547112;0,289541602;-1,113727212
0,42781817;-0,5167768;0,711026192;-1,165038466
0,44467484;-0,842969239;1,153279662;-1,265217423
0,46153077;-0,786771298;1,732362866;-1,157708287
0,47838582;-0,773332655;1,930277348;-0,791199923
0,49524171;-0,717134655;2,565558434;-0,5089885
0,51209838;-0,296871781;2,298007488;0,203259423
0,52895432;0,253043473;0,907719016;0,443933249
0,54580937;0,780815482;-0,360552609;0,618635535
0,56266525;1,139993668;-1,483289838;0,436603069
0,57952192;1,330578089;-2,312820435;0,258235693
0,59637786;1,424648523;-2,866248131;0,590536594
0,61323291;0,070858285;-1,245059371;1,009730577
0,63008879;-0,310310394;1,418387294;1,070815206
0,64694546;0,221279413;1,442821264;0,379183441
0,6638014;0,257930249;0,996902704;0,523343384
0,68065645;-0,398272425;0,48134765;0,505017996
0,69751234;-0,37872529;0,342074454;0,048104223
