Time(s);X(m/s^2);Y(m/s^2);Z(m/s^2)
0,00521702;3,749253988;3,407080412;-2,037189484
0,02207327;4,563411713;2,882753134;-1,941177368
0,03892958;6,076273918;2,954537868;-1,081854939
0,0557851;7,220641613;2,509173632;0,448056042
0,07264056;7,244569778;3,857230186;2,016252279
0,08949682;6,722635269;7,661519051;0,064905316
0,10635312;5,920740604;16,73031616;-3,025724173
0,12320864;16,77787399;34,55684662;-5,161318302
0,14006411;11,67846966;20,87199402;-5,333900928
0,15692036;4,951049328;11,1568346;-1,831107497
0,17377666;5,954239845;9,490532875;-1,062712312
0,19063218;9,576674461;9,282057762;2,226820469
0,20748765;8,424829483;6,512365818;4,482056141
0,2243439;7,792825222;4,525126934;3,265903711
0,2412002;7,306783199;4,503591537;3,000001431
0,25805572;6,411568165;4,869992256;2,327319145
0,27491119;5,99491787;6,093322754;-0,183948234
0,29176744;5,88006258;7,366902828;-5,233103275
0,30862374;4,493721008;6,911967278;-7,696813107
0,32547926;3,734897137;6,868896484;-6,923333168
0,34233473;2,714956284;6,253642082;-5,216353416
0,35919098;1,716850281;5,580959797;-3,535694599
0,37604734;1,700100541;5,487639427;-2,9491539
0,3929028;2,123630047;6,220142365;-2,178365946
0,40975827;2,830111027;6,653542519;-2,168794632
0,42661458;3,665505171;6,007181168;-2,341077805
0,44347088;4,151547432;4,781158924;-2,831905603
0,46032635;4,517948151;3,591327667;-4,471886635
0,47718182;6,766005039;3,675375462;-6,533303261
0,49403812;10,22064304;4,589733124;-6,66251564
0,51089442;12,85155106;6,074180126;-8,596813202
0,52774994;13,79970741;5,035097122;-9,619147301
0,54460541;11,7526474;2,76311183;-9,015856743
0,56146166;8,065905571;2,025823355;-6,590730667
0,57831796;4,754837513;4,266701698;-3,463909864
0,59517348;5,489733219;10,63729286;-2,226222277
0,61202895;5,982954025;18,14985847;2,547757864
0,6288852;7,364510059;16,54337692;2,183749676
0,6457415;7,079464912;10,01007462;0,404985219
0,66259702;5,075775146;6,883253574;-1,591825247
0,67945249;4,287938118;10,20149994;-2,02761817
0,69630874;3,212962627;13,0887394;-1,019641519
0,71316504;1,843669891;14,58036613;-1,39561379
0,73002056;2,789133787;13,93161201;-1,536790371
0,74687603;2,777169704;10,63490009;-3,585943937
0,76373228;4,33340168;9,160024643;-5,455934525
0,78058859;5,221737385;7,867301941;-7,344769001
0,79744411;4,829015255;6,687041759;-10,20090199
0,81429958;2,533101797;6,615257263;-10,35165024
0,83115588;0,320937336;8,451449394;-9,255437851
0,84801218;0,924227774;10,23499966;-7,904988766
0,86486765;2,762812853;8,78195858;-6,676872253
0,88172317;7,709076405;5,76760006;1,025025368
0,89857942;5,963811398;3,610470295;7,340581894
0,91543572;3,035893679;4,544269085;2,997608662
0,93229124;2,616850615;6,725327015;-2,250150681
0,94914671;3,502793312;8,219346046;-3,104986429
0,96600296;4,314259052;8,743673325;-2,760120869
0,98285926;4,714159489;8,642875671;-2,681157827
0,99971478;4,551447868;8,571090698;-2,994617462
1,01657025;4,714159489;8,827422142;-3,890131474
1,0334265;4,793122768;8,920742035;-5,798108578
1,0502828;4,319045067;7,228118896;-6,64815855
1,06713833;3,337389469;5,030311584;-4,670490742
1,08399379;2,748456001;3,194119215;-2,367398977
1,1008501;3,011965513;3,201297522;-1,630110383
1,1177064;2,437388897;6,77796936;-4,636991024
1,13456187;1,659123421;8,592626572;-6,959225655
1,15141734;1,350449324;6,785147667;-5,350650311
1,16827364;2,533101797;5,456532955;-3,143271685
1,18512994;3,967299938;5,564209938;-2,736192703
1,20198546;5,317450047;5,159523964;-1,989332914
1,21884093;6,330212116;4,98963356;-0,006879365
1,23569718;6,557530403;5,298307419;1,288235903
1,25255348;5,56630373;8,791529655;0,962812007
1,269409;6,138487339;15,53809261;-0,313459754
1,28626447;11,28843975;23,89831543;-7,555636406
1,30312072;11,73829079;23,85733986;-8,060522079
1,31997708;5,480162144;15,49741459;-4,960321426
1,33683254;4,90319252;10,55115128;-2,429612398
1,35368801;6,052345753;8,417949677;-1,44347024
1,37054432;7,077072144;7,354938507;0,000299103
1,38740062;7,567899704;5,959324837;1,78145647
