"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.101375023E-3,1.739382935E-1,5.652545471E0,7.253765717E0
1.215237507E-2,2.495310974E-1,5.680537262E0,7.205116882E0
2.220337500E-2,3.867956543E-1,5.638774109E0,7.270081787E0
3.225437505E-2,5.399272156E-1,5.493426361E0,7.430248718E0
4.230437498E-2,5.718109131E-1,5.429658966E0,7.685917053E0
5.235537502E-2,6.762936401E-1,5.284311218E0,7.975564728E0
6.240637507E-2,6.976991272E-1,5.198988647E0,8.203091583E0
7.245737500E-2,6.195616150E-1,5.221891022E0,8.270900574E0
8.250837505E-2,5.460644531E-1,5.268593903E0,8.213719482E0
9.255837498E-2,5.164260864E-1,5.346581726E0,8.122858429E0
1.026093750E-1,4.842430115E-1,5.429060211E0,8.051307220E0
1.126603751E-1,4.974156189E-1,5.450166321E0,7.994874573E0
1.227113750E-1,5.565426636E-1,5.428311768E0,7.954159241E0
1.327623751E-1,5.634283447E-1,5.429658966E0,7.928861847E0
1.428123750E-1,6.231541443E-1,5.378914490E0,7.914940796E0
1.528633750E-1,6.822811890E-1,5.356012115E0,8.002059631E0
1.629143751E-1,7.223977661E-1,5.345833282E0,8.098608856E0
1.729653750E-1,7.463479614E-1,5.340594177E0,8.195607147E0
1.830163751E-1,7.614665222E-1,5.360652466E0,8.249046021E0
1.930663750E-1,7.625143433E-1,5.390440521E0,8.285570068E0
2.031173750E-1,7.708969116E-1,5.415737915E0,8.339308319E0
2.131683751E-1,7.601193237E-1,5.413193207E0,8.370443573E0
2.232193750E-1,7.378157043E-1,5.417234802E0,8.358169098E0
2.332703751E-1,7.089257812E-1,5.406756592E0,8.326884155E0
2.433203750E-1,7.153623962E-1,5.390440521E0,8.261320496E0
2.533713750E-1,7.244934082E-1,5.368136902E0,8.191116486E0
2.634223751E-1,7.363188171E-1,5.318889313E0,8.148904266E0
2.734733750E-1,7.295828247E-1,5.261857910E0,8.080346832E0
2.835243751E-1,6.899153137E-1,5.253026276E0,8.023016052E0
2.935743750E-1,6.806346130E-1,5.270988922E0,8.001460876E0
3.036253750E-1,7.258406067E-1,5.301375732E0,8.036038971E0
3.136763751E-1,7.545808411E-1,5.350623322E0,8.090375977E0
3.237273750E-1,7.584727478E-1,5.351072388E0,8.148155823E0
3.337783751E-1,7.583230591E-1,5.336253204E0,8.175099792E0
3.438283750E-1,7.195536804E-1,5.333858185E0,8.187973022E0
3.538793750E-1,7.132667542E-1,5.320535889E0,8.201145630E0
3.639303750E-1,6.932084656E-1,5.297783203E0,8.208929443E0
3.739813750E-1,6.685098267E-1,5.272036743E0,8.248447266E0
3.840323751E-1,7.132667542E-1,5.227878571E0,8.287815399E0
3.940823750E-1,7.827223206E-1,5.196593628E0,8.302335205E0
4.041333750E-1,7.779322815E-1,5.199587402E0,8.297844543E0
4.141843750E-1,7.777825928E-1,5.198389893E0,8.275391235E0
4.242353750E-1,8.069718933E-1,5.196294250E0,8.255183258E0
4.342863751E-1,8.490344238E-1,5.169499969E0,8.222251740E0
4.443363750E-1,8.470884705E-1,5.155728607E0,8.187523956E0
4.543873750E-1,8.440946960E-1,5.146896973E0,8.157735901E0
4.644350000E-1,8.602610779E-1,5.103038177E0,8.162975006E0
4.744860000E-1,8.560697937E-1,5.059179382E0,8.152796173E0
4.845370001E-1,8.427474976E-1,5.052593079E0,8.136031036E0
4.945870000E-1,8.270301819E-1,5.049449615E0,8.132737885E0
5.046380000E-1,7.861651611E-1,5.073250122E0,8.140521698E0
5.146890000E-1,7.967930603E-1,5.071154480E0,8.135881348E0
5.247400000E-1,8.440946960E-1,5.006938019E0,8.158184967E0
5.347910001E-1,8.834628296E-1,4.973258057E0,8.194858704E0
5.448420000E-1,8.746311951E-1,4.959486694E0,8.196205902E0
5.548920000E-1,8.791218567E-1,4.940925293E0,8.215366058E0
5.649430000E-1,8.274792480E-1,4.912484436E0,8.153993683E0
5.749940000E-1,8.008346558E-1,4.887037354E0,8.169561310E0
5.850450001E-1,7.725434875E-1,4.881798248E0,8.191715240E0
5.950960000E-1,7.679031372E-1,4.882097626E0,8.175548859E0
6.051460000E-1,8.132588196E-1,4.864434357E0,8.202343140E0
6.151970000E-1,8.833131409E-1,4.859943695E0,8.205187225E0
6.252480000E-1,9.322613525E-1,4.866829376E0,8.183632050E0
6.352990001E-1,9.136999512E-1,4.902155914E0,8.182584229E0
6.453500000E-1,8.794212341E-1,4.915777588E0,8.202043762E0
6.554000000E-1,8.792715454E-1,4.914430389E0,8.221503296E0
6.654510000E-1,9.216334534E-1,4.883295135E0,8.232729950E0
6.755020000E-1,9.488768005E-1,4.844376068E0,8.272098083E0
6.855530001E-1,9.557624817E-1,4.810247040E0,8.332572327E0
6.956040000E-1,9.310638428E-1,4.770579529E0,8.384214935E0
7.056550001E-1,8.937913513E-1,4.715194702E0,8.357270966E0
7.157050000E-1,8.942404175E-1,4.638853455E0,8.315956879E0
7.257560000E-1,8.592132568E-1,4.606820068E0,8.310268707E0
7.358070001E-1,8.907975769E-1,4.613406372E0,8.430917816E0
7.458580000E-1,9.068142700E-1,4.704267426E0,8.541238403E0
7.559090001E-1,9.012757874E-1,4.811743927E0,8.628955994E0
7.659590000E-1,9.413923645E-1,4.832999725E0,8.723110199E0
7.760100000E-1,9.750723267E-1,4.843477936E0,8.778495026E0
7.860610001E-1,9.541159058E-1,4.853507080E0,8.758287048E0
7.961120000E-1,9.181906128E-1,4.825515289E0,8.705446930E0
8.061630001E-1,8.849597168E-1,4.796325989E0,8.657396851E0
8.162130000E-1,8.451425171E-1,4.774321747E0,8.612789612E0
8.262640000E-1,8.008346558E-1,4.742438049E0,8.604706421E0
8.363150001E-1,7.526348877E-1,4.754862213E0,8.591084747E0
8.463660000E-1,7.526348877E-1,4.763244781E0,8.585995331E0
8.564170001E-1,7.825726318E-1,4.774770813E0,8.600964203E0
8.664680000E-1,8.187973022E-1,4.792134705E0,8.595874786E0
8.765180000E-1,8.349636841E-1,4.799170074E0,8.590485992E0
8.865690000E-1,8.161029053E-1,4.815486145E0,8.586594086E0
8.966200000E-1,8.159532166E-1,4.832251282E0,8.589587860E0
9.066710001E-1,8.355624390E-1,4.825664978E0,8.613538055E0
9.167220000E-1,8.508306885E-1,4.832999725E0,8.639733582E0
9.267730000E-1,8.556207275E-1,4.811743927E0,8.668922882E0
9.368230000E-1,8.725355530E-1,4.747976532E0,8.660540314E0
9.468740000E-1,8.907975769E-1,4.683909760E0,8.639434204E0
9.569250001E-1,8.502319336E-1,4.691843262E0,8.623118134E0
9.669760000E-1,8.493338013E-1,4.699926453E0,8.606203308E0
9.770270000E-1,8.776249695E-1,4.668641510E0,8.628357239E0
9.870780000E-1,9.264234924E-1,4.622537384E0,8.610394592E0
9.971280000E-1,9.837542725E-1,4.589456177E0,8.559350739E0
1.007179000E0,1.018631744E0,4.545747070E0,8.501121826E0
1.017230000E0,9.985734558E-1,4.525539093E0,8.440647583E0
1.027281000E0,9.497749329E-1,4.472100220E0,8.401279449E0
1.037332000E0,9.072633362E-1,4.413422241E0,8.400980072E0
1.047383000E0,8.625064087E-1,4.359833679E0,8.436605988E0
1.057433000E0,8.276289368E-1,4.277205505E0,8.424630890E0
1.067484000E0,7.848179626E-1,4.201912079E0,8.384514313E0
1.077535000E0,7.743397522E-1,4.116888885E0,8.295299835E0
1.087586000E0,7.509883118E-1,4.054917755E0,8.234675903E0
1.097637000E0,7.424560547E-1,4.035458221E0,8.251890106E0
1.107688000E0,7.276368713E-1,4.037254486E0,8.292455750E0
1.117738000E0,7.800279236E-1,4.049978027E0,8.451275482E0
1.127789000E0,7.948471069E-1,4.044589233E0,8.597820740E0
1.137840000E0,7.713459778E-1,3.997137909E0,8.651409302E0
1.147891000E0,7.294331360E-1,3.963158569E0,8.621920624E0
1.157942000E0,7.726931763E-1,3.965703278E0,8.610993347E0
1.167993000E0,8.056246948E-1,3.996539154E0,8.697513428E0
1.178043000E0,7.991880798E-1,4.101321259E0,8.804840240E0
1.188094000E0,7.985893250E-1,4.153412933E0,8.934770050E0
1.198145000E0,7.948471069E-1,4.152514801E0,9.044042816E0
1.208196000E0,7.929011536E-1,4.095184021E0,9.117839355E0
1.218247000E0,7.792794800E-1,4.027075653E0,9.170829163E0
1.228298000E0,7.300318909E-1,4.005071411E0,9.240284729E0
1.238349000E0,6.538403320E-1,4.042194214E0,9.249864807E0
1.248399000E0,5.986051941E-1,4.133354645E0,9.203311615E0
1.258450000E0,6.045927429E-1,4.266577606E0,9.153315582E0
1.268501000E0,6.474037170E-1,4.360432434E0,9.024732971E0
1.278552000E0,6.738986206E-1,4.411625977E0,8.892707520E0
1.288603000E0,6.888674927E-1,4.423451385E0,8.745713196E0
1.298654000E0,6.885681152E-1,4.400998077E0,8.604706421E0
1.308704000E0,6.903643799E-1,4.364623718E0,8.492888947E0
1.318755000E0,6.535409546E-1,4.329297180E0,8.443042603E0
