"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.533083316E-3,2.514770508E0,6.136489105E0,6.503675537E0
1.258408336E-2,2.337089996E0,6.069877625E0,6.786437531E0
2.263508330E-2,1.809437256E0,6.019582214E0,7.152576141E0
3.268608334E-2,1.782642975E0,5.870342560E0,7.590415649E0
4.273708328E-2,1.802850952E0,5.910309448E0,7.864046631E0
5.278808333E-2,1.727856903E0,5.773344269E0,8.083639984E0
6.283908337E-2,1.682351532E0,5.693709869E0,8.181835785E0
7.288908330E-2,1.823358307E0,5.692662048E0,8.355923767E0
8.294008335E-2,1.701661377E0,5.722599792E0,8.444090424E0
9.299108328E-2,1.557062073E0,5.748346252E0,8.236621857E0
1.030420833E-1,1.545386353E0,5.765111389E0,7.775580597E0
1.130930834E-1,1.658850403E0,5.801934814E0,7.347321167E0
1.231440833E-1,1.841470642E0,5.871989136E0,7.140900421E0
1.331950834E-1,1.904339905E0,5.876030731E0,6.938670959E0
1.432460833E-1,1.883233795E0,5.872438202E0,6.843019867E0
1.532970833E-1,1.842668152E0,5.892047424E0,6.889573059E0
1.633480834E-1,1.794618073E0,5.954317932E0,7.047644348E0
1.733990833E-1,1.716330872E0,5.980214081E0,7.290140076E0
1.834500834E-1,1.642983398E0,5.879623260E0,7.458839264E0
1.935010833E-1,1.551822968E0,5.676795044E0,7.495513000E0
2.035520833E-1,1.524280243E0,5.556744690E0,7.498656464E0
2.136020834E-1,1.462309113E0,5.468877411E0,7.566315765E0
2.236530833E-1,1.353186035E0,5.404810638E0,7.710466003E0
2.337040834E-1,1.325643311E0,5.423222351E0,7.899373169E0
2.437550833E-1,1.414558411E0,5.457950134E0,8.052804108E0
2.538060833E-1,1.535955963E0,5.459896088E0,8.231083374E0
2.638570833E-1,1.639540558E0,5.311105499E0,8.401129761E0
2.739080833E-1,1.681603088E0,5.106331329E0,8.341254272E0
2.839590834E-1,1.717528381E0,4.745132446E0,8.121361542E0
