"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.237790833E-1,5.942642212E-2,5.631439362E0,8.542136536E0
3.338300833E-1,4.864883423E-2,5.422174530E0,8.537496185E0
3.438800833E-1,5.493576050E-2,5.265001373E0,8.574768677E0
3.539300833E-1,4.191284180E-2,5.165308685E0,8.684490509E0
3.639810833E-1,5.388793945E-2,5.087171173E0,8.821156311E0
3.740310833E-1,9.370513916E-2,4.996160431E0,8.901239777E0
3.840810832E-1,1.264869690E-1,4.816683655E0,8.897647247E0
3.941310833E-1,1.778302002E-1,4.557123413E0,8.827592926E0
4.041820833E-1,2.529739380E-1,4.345313873E0,8.757239227E0
4.142320832E-1,2.540217590E-1,4.206402740E0,8.750952301E0
4.242820833E-1,2.538720703E-1,4.168082428E0,8.814270630E0
4.343334583E-1,1.824705505E-1,4.147275696E0,8.898545380E0
4.443834582E-1,1.688488770E-1,4.061354370E0,9.040450287E0
4.544334583E-1,2.395019531E-1,3.951333160E0,9.183702393E0
4.644844583E-1,2.820135498E-1,3.899391174E0,9.184600525E0
4.745344582E-1,3.939807129E-1,3.860472107E0,8.952882385E0
4.845844583E-1,4.891827393E-1,3.925736389E0,8.608748016E0
4.946354583E-1,5.671705627E-1,4.075425110E0,8.412057037E0
5.046854583E-1,6.412664795E-1,4.185146942E0,8.360414429E0
5.147354583E-1,6.689588928E-1,4.267625427E0,8.489146729E0
5.247864582E-1,6.099815369E-1,4.371659088E0,8.685688019E0
5.348364583E-1,4.775070190E-1,4.533023529E0,8.897796936E0
5.448864583E-1,2.827619934E-1,4.677922211E0,8.993298340E0
5.549374582E-1,1.821711731E-1,4.755011902E0,8.927135925E0
5.649874583E-1,1.704954529E-1,4.714745636E0,8.604706421E0
5.750374583E-1,3.239263916E-1,4.536466370E0,8.117319946E0
