"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.639375028E-3,-1.425539702E-1,-3.546501100E-1,-8.225239068E-2
1.969037508E-2,-2.183717787E-1,-4.381173253E-1,-1.076027527E-1
2.974137501E-2,-2.589170039E-1,-4.978803992E-1,-1.407520324E-1
3.979237506E-2,-2.675049007E-1,-5.268116593E-1,-1.560316533E-1
4.984337499E-2,-2.434437275E-1,-4.850408435E-1,-1.593065113E-1
5.989337503E-2,-2.118101567E-1,-3.801147044E-1,-1.362254322E-1
6.994437508E-2,-1.882198900E-1,-2.621935308E-1,-1.000520587E-1
7.999537501E-2,-1.866283864E-1,-1.701645255E-1,-5.687529221E-2
9.004637506E-2,-1.930069625E-1,-1.221696362E-1,-2.504327334E-2
1.000963750E-1,-1.941441298E-1,-1.145266294E-1,-1.383402944E-2
1.101473750E-1,-1.910855621E-1,-1.288300455E-1,-1.308530662E-2
1.201983751E-1,-1.954278350E-1,-1.745416075E-1,-1.948914304E-2
1.302493750E-1,-2.027061135E-1,-2.006191909E-1,-2.747530676E-2
1.403003751E-1,-2.137915194E-1,-2.155142576E-1,-3.814978525E-2
1.503503750E-1,-2.161930948E-1,-2.191825807E-1,-4.639145359E-2
1.604013750E-1,-2.137701511E-1,-1.896148324E-1,-5.222004652E-2
1.704523750E-1,-2.040065527E-1,-1.605286449E-1,-5.786627904E-2
1.805033750E-1,-1.833683848E-1,-1.275515258E-1,-6.006924808E-2
1.905543751E-1,-1.635848433E-1,-1.131701022E-1,-5.863716453E-2
2.006043750E-1,-1.402920336E-1,-1.201992482E-1,-6.054079160E-2
2.106553750E-1,-1.140732467E-1,-1.152043790E-1,-5.819326267E-2
2.207063750E-1,-8.610978723E-2,-1.049682498E-1,-5.470425636E-2
2.307573750E-1,-6.524118781E-2,-9.503898025E-2,-4.810281843E-2
2.408083751E-1,-5.499121547E-2,-8.428513259E-2,-3.970001265E-2
2.508583750E-1,-4.731331766E-2,-8.183280379E-2,-4.111564904E-2
2.609093750E-1,-4.039122909E-2,-7.325262576E-2,-4.044879228E-2
2.709603750E-1,-4.358217865E-2,-6.895553321E-2,-3.375076130E-2
2.810113750E-1,-5.587825924E-2,-7.231964171E-2,-2.458389103E-2
2.910623751E-1,-6.931030750E-2,-8.285558969E-2,-1.690051891E-2
3.011133750E-1,-8.131104708E-2,-9.681907296E-2,-2.261459827E-2
3.111633750E-1,-8.749637008E-2,-1.100989804E-1,-3.871968761E-2
3.212143750E-1,-9.099522978E-2,-1.235111877E-1,-5.779457837E-2
3.312653750E-1,-9.992600977E-2,-1.295029968E-1,-7.298535854E-2
3.413163751E-1,-1.140362322E-1,-1.332407296E-1,-8.320737630E-2
3.513663750E-1,-1.211613789E-1,-1.195617914E-1,-8.602500707E-2
3.614173750E-1,-1.243260130E-1,-1.074960679E-1,-7.678730041E-2
3.714683750E-1,-1.248587072E-1,-9.666661173E-2,-6.105952710E-2
3.815193750E-1,-1.135442704E-1,-8.807498217E-2,-4.602518678E-2
3.915703751E-1,-9.961384535E-2,-7.259001583E-2,-3.398145363E-2
4.016213750E-1,-8.394034207E-2,-7.044430822E-2,-2.274664305E-2
4.116713750E-1,-7.286188006E-2,-7.823860645E-2,-2.132129483E-2
4.217223750E-1,-6.171495095E-2,-8.842253685E-2,-2.879439108E-2
4.317733750E-1,-6.253568828E-2,-1.005973592E-1,-4.115366936E-2
4.418243751E-1,-6.797812134E-2,-1.013590246E-1,-5.271951109E-2
4.518753750E-1,-7.875914872E-2,-9.721224010E-2,-6.492847949E-2
4.619253750E-1,-8.346788585E-2,-1.044523120E-1,-7.160741836E-2
4.719730000E-1,-8.640260994E-2,-1.116678417E-1,-7.244142890E-2
4.820240000E-1,-9.285331517E-2,-1.253010929E-1,-7.697892189E-2
4.920750001E-1,-9.722585231E-2,-1.373666227E-1,-7.362113148E-2
5.021260000E-1,-1.045431569E-1,-1.479801238E-1,-8.387643099E-2
5.121760000E-1,-1.122028679E-1,-1.434496194E-1,-8.984457701E-2
5.222270000E-1,-1.216203347E-1,-1.257619709E-1,-9.074925631E-2
5.322780000E-1,-1.300282925E-1,-9.994338453E-2,-8.814118803E-2
5.423290001E-1,-1.381836832E-1,-7.004220784E-2,-7.191960514E-2
5.523800000E-1,-1.622024179E-1,-5.044888705E-2,-5.822188407E-2
5.624300000E-1,-1.631435752E-1,-3.054868057E-2,-4.078830034E-2
5.724810000E-1,-1.676946580E-1,-4.889575392E-2,-2.095385082E-2
5.825320000E-1,-1.612876356E-1,-6.225177646E-2,-6.462792400E-3
5.925830001E-1,-1.538562626E-1,-7.059772313E-2,3.507740330E-4
6.026340000E-1,-1.544496268E-1,-8.835940808E-2,3.183844965E-3
6.126850001E-1,-1.655319333E-1,-9.940643609E-2,-5.185372196E-3
6.227350000E-1,-1.845138818E-1,-8.802089095E-2,-1.148587931E-2
6.327860000E-1,-2.055142075E-1,-6.733628362E-2,-2.476323582E-2
6.428370001E-1,-2.336025685E-1,-5.040550232E-2,-3.689473122E-2
6.528880000E-1,-2.547746301E-1,-3.019653261E-2,-5.965634063E-2
6.629390001E-1,-2.774895430E-1,-3.298871685E-3,-8.161970228E-2
6.729890000E-1,-3.018401861E-1,1.804231666E-2,-9.719647467E-2
6.830400000E-1,-3.118574023E-1,3.589748219E-2,-1.003571153E-1
6.930910000E-1,-3.133890629E-1,4.430354387E-2,-9.083311260E-2
7.031420000E-1,-3.072483540E-1,5.258277804E-2,-6.886336207E-2
7.131930001E-1,-3.014027178E-1,5.635504425E-2,-3.849437460E-2
7.232430000E-1,-3.067034483E-1,3.264332190E-2,4.905299284E-3
7.332940000E-1,-3.037108779E-1,1.021746080E-3,4.354936257E-2
7.433450000E-1,-2.834719121E-1,-6.869466044E-3,6.701341271E-2
7.533960000E-1,-2.410799563E-1,-9.545256384E-3,6.729175895E-2
7.634470001E-1,-1.913073361E-1,-2.639747225E-2,4.395394400E-2
7.734980000E-1,-1.466574967E-1,-3.412858769E-2,1.618259214E-2
7.835480000E-1,-1.197776720E-1,-2.550181001E-2,-9.647672996E-3
7.935990000E-1,-1.052360013E-1,5.552435759E-3,-2.031056210E-2
8.036500000E-1,-9.794905782E-2,3.021836653E-2,-1.152905542E-2
8.137010001E-1,-1.001715437E-1,4.114377871E-2,6.706262939E-4
8.237520000E-1,-9.975528717E-2,3.908115998E-2,1.922487095E-2
8.338020000E-1,-9.242092818E-2,4.875858128E-2,3.348979726E-2
8.438530000E-1,-7.764118165E-2,5.113918334E-2,5.006717891E-2
8.539040000E-1,-6.339647621E-2,3.379204497E-2,5.836016685E-2
8.639550001E-1,-4.423956200E-2,1.282178052E-2,5.871516466E-2
8.740060000E-1,-2.952997386E-2,-1.225908659E-2,4.924131557E-2
8.840570000E-1,-2.700023726E-2,-3.342296183E-2,3.835857660E-2
8.941070000E-1,-2.817376144E-2,-4.192426428E-2,2.251532301E-2
9.041580000E-1,-3.395814821E-2,-4.063636065E-2,1.003415231E-2
9.142090001E-1,-4.157799855E-2,-3.195101768E-2,-2.053377451E-3
9.242600000E-1,-4.055987298E-2,-2.300812304E-2,-9.915828705E-3
9.343110000E-1,-3.836772218E-2,-9.663831443E-3,-8.928918280E-3
9.443620000E-1,-3.733574972E-2,-1.351449545E-2,6.476670038E-3
9.544120000E-1,-2.874367684E-2,-2.615382150E-2,3.208645806E-2
9.644630001E-1,-1.255512051E-2,-4.373707995E-2,4.646406695E-2
9.745140000E-1,6.050240714E-3,-5.207492784E-2,3.930950910E-2
9.845650000E-1,1.802780852E-2,-4.384815693E-2,2.231534570E-2
9.946160000E-1,1.316215657E-2,-2.617426962E-2,-3.593598958E-4
