"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.380849584E-1,-1.624895930E-1,-7.670963183E-3,2.231699824E-1
8.481359583E-1,-1.631820053E-1,-2.838289738E-2,2.374264151E-1
8.581859584E-1,-1.748217344E-1,-3.719395772E-2,2.484988868E-1
8.682359584E-1,-1.906488985E-1,-8.283920586E-2,2.458429039E-1
8.782869583E-1,-2.064309120E-1,-9.234046191E-2,2.284447402E-1
8.883369584E-1,-2.165245712E-1,-7.369327545E-2,2.056302279E-1
8.983869583E-1,-2.218931019E-1,-6.233862787E-2,1.859861165E-1
9.084379583E-1,-2.280788273E-1,-6.651819497E-2,1.707991809E-1
9.184879584E-1,-2.330178618E-1,-6.757827848E-2,1.505302489E-1
9.285379583E-1,-2.408765852E-1,-6.933356822E-2,1.313403100E-1
9.385889584E-1,-2.426494360E-1,-6.923668832E-2,1.184330061E-1
9.486389584E-1,-2.514775693E-1,-7.123619318E-2,1.075526625E-1
9.586889583E-1,-2.635848522E-1,-9.036768973E-2,1.072746888E-1
9.687399584E-1,-2.804743648E-1,-1.190603226E-1,1.157677770E-1
9.787899583E-1,-2.995989323E-1,-1.309931129E-1,1.259066164E-1
9.888399583E-1,-3.115480244E-1,-1.312128156E-1,1.280134469E-1
9.988909584E-1,-3.158667088E-1,-1.382240802E-1,1.281500161E-1
1.008940958E0,-3.119111061E-1,-1.475406140E-1,1.195224449E-1
1.018990958E0,-3.007767200E-1,-1.414835751E-1,1.046177223E-1
1.029041958E0,-2.857650220E-1,-1.248286963E-1,8.587572724E-2
1.039091958E0,-2.749739885E-1,-1.269087791E-1,6.368602812E-2
1.049141958E0,-2.618826628E-1,-1.256602854E-1,3.921583667E-2
1.059192958E0,-2.508250773E-1,-1.102174148E-1,1.853970066E-2
1.069242958E0,-2.380799800E-1,-1.051182598E-1,1.075747423E-5
1.079292958E0,-2.320680022E-1,-1.076578498E-1,-1.940695755E-2
1.089343958E0,-2.213309407E-1,-1.044990793E-1,-3.479949757E-2
1.099393958E0,-2.097157985E-1,-9.197907895E-2,-4.580850154E-2
1.109443958E0,-1.890259683E-1,-7.420966774E-2,-4.803969711E-2
1.119494958E0,-1.691433340E-1,-6.199145317E-2,-5.200634897E-2
1.129544958E0,-1.481776088E-1,-5.804144964E-2,-4.546535760E-2
1.139594958E0,-1.273777932E-1,-5.904110521E-2,-2.743242308E-2
1.149645958E0,-1.079534888E-1,-6.357513368E-2,-2.049755305E-2
1.159695958E0,-9.628114104E-2,-7.728556544E-2,-2.681347542E-2
1.169745958E0,-7.975090295E-2,-7.713110000E-2,-3.581815585E-2
1.179795958E0,-6.568263471E-2,-6.846868992E-2,-4.743615165E-2
1.189846958E0,-4.181246087E-2,-5.330997333E-2,-5.730289593E-2
1.199893583E0,-1.829775237E-2,-3.747211397E-2,-6.746191531E-2
1.209943583E0,8.447831497E-4,-2.543063089E-2,-6.725632399E-2
1.219994583E0,1.349494047E-2,-1.211871486E-2,-6.784089655E-2
1.230044583E0,2.486610413E-2,1.088433200E-3,-6.759428978E-2
1.240094583E0,2.607071586E-2,4.049815703E-3,-5.971212685E-2
1.250145583E0,2.458999678E-2,-6.501895376E-3,-5.505824834E-2
1.260195583E0,1.320423186E-2,-1.567275450E-2,-4.674594849E-2
1.270245583E0,-7.775885053E-3,-2.752754837E-2,-4.248515517E-2
1.280296583E0,-2.734469809E-2,-4.706972092E-2,-3.522197530E-2
1.290346583E0,-4.279449582E-2,-6.358025223E-2,-3.741615266E-2
1.300396583E0,-4.882190004E-2,-7.050627470E-2,-4.434981197E-2
1.310447583E0,-5.080595613E-2,-7.198779285E-2,-5.731248483E-2
1.320497583E0,-4.784443974E-2,-6.639978290E-2,-7.601615787E-2
1.330547583E0,-4.074951261E-2,-5.277292430E-2,-9.770493954E-2
1.340598583E0,-3.972729295E-2,-3.579606488E-2,-1.154787987E-1
1.350648583E0,-3.833339363E-2,-2.443448640E-2,-1.307741404E-1
