"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.395333325E-3,-1.402583313E-1,5.997877350E0,7.090754700E0
1.144533337E-2,3.293151855E-3,5.986201630E0,7.018604736E0
2.149533329E-2,1.489402771E-1,5.913901978E0,7.095095673E0
3.154633334E-2,2.272274780E-1,5.857319641E0,7.228468323E0
4.159633338E-2,3.174897766E-1,5.793552246E0,7.349865875E0
5.164633330E-2,4.266128540E-1,5.659580841E0,7.636968842E0
6.169733335E-2,5.117857361E-1,5.578599243E0,7.855214996E0
7.174733339E-2,5.078938293E-1,5.628894653E0,7.908055115E0
8.179733332E-2,4.819976807E-1,5.630391541E0,7.985144806E0
9.184833337E-2,5.019062805E-1,5.606591034E0,7.981851654E0
1.018983333E-1,5.156776428E-1,5.597460022E0,7.911947021E0
1.119483333E-1,4.558021545E-1,5.641318817E0,7.868237915E0
1.219993334E-1,3.811074829E-1,5.695655823E0,7.927215271E0
1.320493333E-1,3.546125793E-1,5.708079987E0,7.996371460E0
1.420993333E-1,3.144960022E-1,5.690416718E0,8.090675354E0
1.521493334E-1,3.050656128E-1,5.690416718E0,8.191415863E0
1.622003333E-1,3.350033569E-1,5.674400024E0,8.230484619E0
1.722503334E-1,3.435356140E-1,5.655988312E0,8.245603180E0
1.823013333E-1,3.363505554E-1,5.626799011E0,8.281229095E0
1.923519584E-1,3.516188049E-1,5.583239594E0,8.316705322E0
2.024019583E-1,4.128414917E-1,5.506598969E0,8.297694855E0
2.124519583E-1,4.818479919E-1,5.447322235E0,8.280330963E0
2.225029584E-1,5.210664368E-1,5.433101807E0,8.289611664E0
2.325529583E-1,5.643264771E-1,5.429060211E0,8.260272675E0
2.426029583E-1,6.068380737E-1,5.414839783E0,8.163274384E0
2.526539584E-1,6.282435608E-1,5.425018616E0,8.033494263E0
2.627039583E-1,6.280938721E-1,5.427563324E0,7.897876282E0
2.727539584E-1,6.301895142E-1,5.420378265E0,7.746990051E0
2.828049583E-1,6.108796692E-1,5.439837799E0,7.600295105E0
2.928549583E-1,5.887257385E-1,5.447621613E0,7.502698059E0
3.029049584E-1,6.159690857E-1,5.395679626E0,7.450756073E0
3.129559583E-1,6.496490479E-1,5.305417328E0,7.451504517E0
