"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.509708329E-2,3.924472630E-2,8.367456794E-1,-1.428412944E-1
2.514808334E-2,7.860811055E-2,8.876352310E-1,-9.193365276E-2
3.519908339E-2,1.055555865E-1,8.900504708E-1,-7.448253036E-2
4.524908331E-2,1.304406971E-1,7.754914165E-1,-6.590661407E-2
5.530008336E-2,1.357205212E-1,6.088662744E-1,-6.539922208E-2
6.535108329E-2,1.190057248E-1,3.740247488E-1,-1.007412300E-1
7.540208334E-2,9.142313153E-2,1.026287600E-1,-1.305892467E-1
8.545308339E-2,5.756663904E-2,-1.446340233E-1,-1.253979355E-1
9.550408332E-2,-2.679083264E-3,-3.094585240E-1,-1.126511917E-1
1.055550834E-1,-7.328774035E-2,-3.711967170E-1,-1.058329716E-1
1.156060833E-1,-1.106422320E-1,-3.631742597E-1,-1.030044481E-1
1.256570834E-1,-1.223577410E-1,-2.915317416E-1,-1.106080413E-1
1.357080833E-1,-1.239947304E-1,-1.748571992E-1,-1.217434630E-1
1.457590833E-1,-1.149948463E-1,-5.130276456E-2,-1.260258257E-1
1.558100834E-1,-1.054327041E-1,5.920582265E-2,-1.149800867E-1
1.658610833E-1,-1.028675586E-1,1.110232174E-1,-9.539519995E-2
1.759110834E-1,-1.110563502E-1,1.155899242E-1,-5.826120824E-2
1.859620833E-1,-1.431610137E-1,9.287289530E-2,-2.314716391E-2
1.960130833E-1,-1.990687549E-1,4.165258631E-2,2.032224089E-3
2.060640834E-1,-2.749129236E-1,-3.505417705E-2,1.662155241E-2
2.161150833E-1,-3.620211780E-1,-1.491996348E-1,2.642035298E-2
2.261660834E-1,-4.300372303E-1,-2.805336714E-1,4.373782128E-2
2.362170833E-1,-4.742410183E-1,-3.840810657E-1,7.448273152E-2
2.462680833E-1,-4.731823802E-1,-4.984542727E-1,1.124378368E-1
2.563190834E-1,-4.551938176E-1,-6.281744838E-1,1.506262422E-1
2.663700833E-1,-4.547402859E-1,-7.642793059E-1,1.416977346E-1
2.764210834E-1,-4.920097888E-1,-8.977777362E-1,1.051782817E-1
2.864720833E-1,-6.068213582E-1,-1.064444661E0,9.575858712E-3
2.965220833E-1,-7.503580451E-1,-1.101807952E0,-6.051712111E-2
3.065730834E-1,-8.246535659E-1,-1.008886218E0,-4.241268709E-2
3.166240833E-1,-9.274731278E-1,-1.053436399E0,-1.419440284E-2
3.266750834E-1,-1.114402175E0,-9.429386258E-1,-3.345731273E-2
3.367260833E-1,-1.235762358E0,-1.001461267E0,-2.462040260E-2
3.467770834E-1,-1.271649003E0,-1.155391216E0,-4.068512470E-2
3.568280833E-1,-1.274871469E0,-1.274017930E0,-5.126793310E-2
3.668790833E-1,-1.194948077E0,-1.340784669E0,-4.174473509E-2
3.769300834E-1,-1.019416809E0,-1.371293068E0,-1.333949529E-2
3.869810833E-1,-8.541191816E-1,-1.241651416E0,2.412106097E-2
3.970320834E-1,-7.497334480E-1,-1.069560170E0,5.834186822E-2
4.070830833E-1,-7.132390738E-1,-8.522433639E-1,9.849088639E-2
4.171330833E-1,-6.941933632E-1,-6.265523434E-1,1.447103173E-1
4.271840834E-1,-6.652887464E-1,-4.249515831E-1,1.881209165E-1
4.372350833E-1,-6.198183298E-1,-2.612301409E-1,2.165799737E-1
4.472860834E-1,-5.759760141E-1,-1.254209280E-1,2.284709811E-1
4.573370833E-1,-5.374014974E-1,-2.041568980E-2,2.427269071E-1
4.673880833E-1,-5.096007586E-1,5.299088359E-2,2.754883170E-1
4.774390834E-1,-4.914990664E-1,1.408816129E-1,3.238260746E-1
4.874900833E-1,-4.672968090E-1,2.591238320E-1,3.779167533E-1
4.975410834E-1,-4.510352015E-1,3.975963593E-1,4.301348031E-1
5.075920833E-1,-4.278816879E-1,5.117676258E-1,4.544433355E-1
5.176430834E-1,-3.939914703E-1,5.791767240E-1,4.465548992E-1
5.276940833E-1,-3.228216767E-1,5.942443609E-1,4.161306620E-1
5.377450833E-1,-2.379989326E-1,5.561044812E-1,3.695839047E-1
5.477950834E-1,-1.544744819E-1,4.537453651E-1,3.287451267E-1
5.578460833E-1,-8.708664775E-2,3.440974355E-1,3.229945600E-1
5.678970834E-1,-4.893179983E-2,2.482446879E-1,3.618633747E-1
5.779480833E-1,-3.180078417E-2,1.603254080E-1,4.123303890E-1
5.879990833E-1,-3.087480552E-2,7.998901606E-2,4.549204707E-1
5.980500834E-1,-3.005857021E-2,-9.545494802E-3,4.939383268E-1
6.081010833E-1,-2.526194975E-2,-1.005102843E-1,5.025507212E-1
6.181520834E-1,-4.318612628E-4,-1.539968699E-1,4.798348248E-1
6.282030833E-1,5.590518191E-2,-1.146729067E-1,4.281899929E-1
6.382540833E-1,1.480885893E-1,1.054398157E-2,3.729400039E-1
6.483050834E-1,2.442273796E-1,1.567272842E-1,3.465882838E-1
6.583560833E-1,3.111688495E-1,2.887217700E-1,3.425578773E-1
6.684060834E-1,3.531690538E-1,3.636114597E-1,3.588409722E-1
6.784570833E-1,3.523178995E-1,4.089771211E-1,4.044169784E-1
6.885080833E-1,3.194358349E-1,4.000374079E-1,4.800579250E-1
6.985590833E-1,3.008487523E-1,3.720985055E-1,5.548259020E-1
7.086100833E-1,3.496884704E-1,3.947156668E-1,6.073639989E-1
7.186610834E-1,4.895052910E-1,4.956015050E-1,6.438833475E-1
7.287120833E-1,6.571949720E-1,6.550569534E-1,6.565868855E-1
7.387630834E-1,8.143379092E-1,7.930057645E-1,6.474065185E-1
7.488140833E-1,9.291808605E-1,8.362650871E-1,6.347328424E-1
7.588635833E-1,9.868981838E-1,7.596594095E-1,6.427139044E-1
7.689145834E-1,9.777491689E-1,5.939180851E-1,6.782114506E-1
7.789655833E-1,8.957311511E-1,3.676153123E-1,7.245140076E-1
7.890155833E-1,7.300409675E-1,1.160837412E-1,7.342265248E-1
7.990665833E-1,4.496878684E-1,-1.500968039E-1,6.799651384E-1
8.091175833E-1,2.946753800E-1,-2.653661370E-1,5.915985107E-1
8.191685834E-1,2.807559967E-1,-8.805131912E-2,4.711825252E-1
8.292195833E-1,3.855508566E-1,2.233001739E-1,3.824537098E-1
8.392705834E-1,5.689399838E-1,5.022423863E-1,3.028692901E-1
8.493215833E-1,7.483342290E-1,7.178356647E-1,2.134672403E-1
8.593725833E-1,8.593574166E-1,8.252717853E-1,1.383413523E-1
8.694235834E-1,8.656259179E-1,8.268699646E-1,1.005063504E-1
8.794745833E-1,7.586743832E-1,7.459043860E-1,1.119586304E-1
